dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes,primary_metric,family_a,family_b,expected_biological_similarity,overlap_confidence,observed_strength,concept_relation,pair,is_mmseqs
softdis,pdbflex,mmseqs_100,mmseqs,100.0,0.8,898,146753,continuous,continuous,spearman,0.107214,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,structural flexibility/dynamics,low,high,low,different concept: flexibility vs disorder/proxy,softdis vs pdbflex,True
softdis,plddt,mmseqs_100,mmseqs,100.0,0.8,31,6625,continuous,continuous,spearman,0.567608,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,softdis vs plddt,True
trizod,atlas,mmseqs_100,mmseqs,100.0,0.8,5,533,continuous,continuous,spearman,0.288167,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,low,low,unknown or weakly related,trizod vs atlas,True
trizod,chezod,mmseqs_100,mmseqs,100.0,0.8,1,138,continuous,continuous,spearman,0.481978,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,very low,medium,same annotation family,trizod vs chezod,True
trizod,disprot,mmseqs_100,none,100.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters",auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs disprot,True
trizod,pdbflex,mmseqs_100,mmseqs,100.0,0.8,24,2578,continuous,continuous,spearman,0.147154,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,medium,low,different concept: flexibility vs disorder/proxy,trizod vs pdbflex,True
trizod,plddt,mmseqs_100,mmseqs,100.0,0.8,3,378,continuous,continuous,spearman,0.495451,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,low,medium,related disorder concept,trizod vs plddt,True
trizod,softdis,mmseqs_100,mmseqs,100.0,0.8,25,2488,continuous,continuous,spearman,0.332754,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,medium,related disorder concept,trizod vs softdis,True
atlas,disprot,mmseqs_80,mmseqs,80.0,0.8,3,1337,continuous,binary,auroc,0.843063,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,medium,high,unknown or weakly related,atlas vs disprot,True
atlas,plddt,mmseqs_80,mmseqs,80.0,0.8,5,737,continuous,continuous,spearman,0.250323,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,medium,low,low,related disorder concept,atlas vs plddt,True
chezod,atlas,mmseqs_80,mmseqs,80.0,0.8,2,249,continuous,continuous,spearman,0.623305,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,high,related disorder concept,chezod vs atlas,True
chezod,disprot,mmseqs_80,mmseqs,80.0,0.8,2,563,continuous,binary,auroc,0.687011,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,low,medium,unknown or weakly related,chezod vs disprot,True
chezod,pdbflex,mmseqs_80,mmseqs,80.0,0.8,8,994,continuous,continuous,spearman,0.122825,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,low,low,different concept: flexibility vs disorder/proxy,chezod vs pdbflex,True
chezod,plddt,mmseqs_80,mmseqs,80.0,0.8,35,4043,continuous,continuous,spearman,0.563213,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,chezod vs plddt,True
chezod,softdis,mmseqs_80,mmseqs,80.0,0.8,11,1165,continuous,continuous,spearman,0.301812,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,medium,related disorder concept,chezod vs softdis,True
pdbflex,atlas,mmseqs_80,mmseqs,80.0,0.8,49,7124,continuous,continuous,spearman,0.286866,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,derived soft disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs atlas,True
pdbflex,disprot,mmseqs_80,mmseqs,80.0,0.8,30,10212,continuous,binary,auroc,0.274089,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,structural flexibility/dynamics,curated binary disorder,low,high,low,different concept: flexibility vs disorder/proxy,pdbflex vs disprot,True
pdbflex,plddt,mmseqs_80,mmseqs,80.0,0.8,55,10785,continuous,continuous,spearman,0.339407,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,high,medium,different concept: flexibility vs disorder/proxy,pdbflex vs plddt,True
plddt,disprot,mmseqs_80,mmseqs,80.0,0.8,18,2461,continuous,binary,auroc,0.88267,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,medium,high,unknown or weakly related,plddt vs disprot,True
softdis,atlas,mmseqs_80,mmseqs,80.0,0.8,55,7528,continuous,continuous,spearman,0.436362,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,derived soft disorder,medium,medium,medium,same annotation family,softdis vs atlas,True
softdis,disprot,mmseqs_80,mmseqs,80.0,0.8,39,12644,continuous,binary,auroc,0.88324,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,high,high,high,related disorder concept,softdis vs disprot,True
softdis,pdbflex,mmseqs_80,mmseqs,80.0,0.8,1195,201384,continuous,continuous,spearman,0.141467,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,structural flexibility/dynamics,low,high,low,different concept: flexibility vs disorder/proxy,softdis vs pdbflex,True
softdis,plddt,mmseqs_80,mmseqs,80.0,0.8,61,13219,continuous,continuous,spearman,0.560025,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,high,high,medium,related disorder concept,softdis vs plddt,True
trizod,atlas,mmseqs_80,mmseqs,80.0,0.8,9,1308,continuous,continuous,spearman,0.175862,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,medium,low,unknown or weakly related,trizod vs atlas,True
trizod,chezod,mmseqs_80,mmseqs,80.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,low,high,same annotation family,trizod vs chezod,True
trizod,disprot,mmseqs_80,none,80.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters",auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs disprot,True
trizod,pdbflex,mmseqs_80,mmseqs,80.0,0.8,47,5502,continuous,continuous,spearman,0.142931,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,medium,low,different concept: flexibility vs disorder/proxy,trizod vs pdbflex,True
trizod,plddt,mmseqs_80,mmseqs,80.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,medium,medium,related disorder concept,trizod vs plddt,True
trizod,softdis,mmseqs_80,mmseqs,80.0,0.8,51,5847,continuous,continuous,spearman,0.308778,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,medium,related disorder concept,trizod vs softdis,True
atlas,disprot,mmseqs_85,mmseqs,85.0,0.8,3,1337,continuous,binary,auroc,0.843063,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,medium,high,unknown or weakly related,atlas vs disprot,True
atlas,plddt,mmseqs_85,mmseqs,85.0,0.8,5,737,continuous,continuous,spearman,0.250323,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,medium,low,low,related disorder concept,atlas vs plddt,True
chezod,atlas,mmseqs_85,mmseqs,85.0,0.8,2,249,continuous,continuous,spearman,0.623305,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,high,related disorder concept,chezod vs atlas,True
chezod,disprot,mmseqs_85,mmseqs,85.0,0.8,2,563,continuous,binary,auroc,0.687011,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,low,medium,unknown or weakly related,chezod vs disprot,True
chezod,pdbflex,mmseqs_85,mmseqs,85.0,0.8,8,994,continuous,continuous,spearman,0.122825,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,low,low,different concept: flexibility vs disorder/proxy,chezod vs pdbflex,True
chezod,plddt,mmseqs_85,mmseqs,85.0,0.8,34,3972,continuous,continuous,spearman,0.5557,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,chezod vs plddt,True
chezod,softdis,mmseqs_85,mmseqs,85.0,0.8,10,1030,continuous,continuous,spearman,0.275515,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,low,related disorder concept,chezod vs softdis,True
pdbflex,atlas,mmseqs_85,mmseqs,85.0,0.8,48,7033,continuous,continuous,spearman,0.290261,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,derived soft disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs atlas,True
pdbflex,disprot,mmseqs_85,mmseqs,85.0,0.8,30,10212,continuous,binary,auroc,0.274089,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,structural flexibility/dynamics,curated binary disorder,low,high,low,different concept: flexibility vs disorder/proxy,pdbflex vs disprot,True
pdbflex,plddt,mmseqs_85,mmseqs,85.0,0.8,54,10580,continuous,continuous,spearman,0.330764,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,high,medium,different concept: flexibility vs disorder/proxy,pdbflex vs plddt,True
plddt,disprot,mmseqs_85,mmseqs,85.0,0.8,15,2088,continuous,binary,auroc,0.975453,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,medium,high,unknown or weakly related,plddt vs disprot,True
softdis,atlas,mmseqs_85,mmseqs,85.0,0.8,53,7377,continuous,continuous,spearman,0.439746,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,derived soft disorder,medium,medium,medium,same annotation family,softdis vs atlas,True
softdis,disprot,mmseqs_85,mmseqs,85.0,0.8,39,12644,continuous,binary,auroc,0.88324,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,high,high,high,related disorder concept,softdis vs disprot,True
softdis,pdbflex,mmseqs_85,mmseqs,85.0,0.8,1187,199311,continuous,continuous,spearman,0.140761,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,structural flexibility/dynamics,low,high,low,different concept: flexibility vs disorder/proxy,softdis vs pdbflex,True
softdis,plddt,mmseqs_85,mmseqs,85.0,0.8,60,13014,continuous,continuous,spearman,0.556523,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,high,high,medium,related disorder concept,softdis vs plddt,True
trizod,atlas,mmseqs_85,mmseqs,85.0,0.8,9,1308,continuous,continuous,spearman,0.175862,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,medium,low,unknown or weakly related,trizod vs atlas,True
trizod,chezod,mmseqs_85,mmseqs,85.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,low,high,same annotation family,trizod vs chezod,True
trizod,disprot,mmseqs_85,none,85.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters",auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs disprot,True
trizod,pdbflex,mmseqs_85,mmseqs,85.0,0.8,46,5395,continuous,continuous,spearman,0.143018,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,medium,low,different concept: flexibility vs disorder/proxy,trizod vs pdbflex,True
trizod,plddt,mmseqs_85,mmseqs,85.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,medium,medium,related disorder concept,trizod vs plddt,True
trizod,softdis,mmseqs_85,mmseqs,85.0,0.8,50,5793,continuous,continuous,spearman,0.312108,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,medium,related disorder concept,trizod vs softdis,True
atlas,disprot,mmseqs_90,mmseqs,90.0,0.8,3,1337,continuous,binary,auroc,0.843063,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,medium,high,unknown or weakly related,atlas vs disprot,True
atlas,plddt,mmseqs_90,mmseqs,90.0,0.8,5,737,continuous,continuous,spearman,0.250323,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,medium,low,low,related disorder concept,atlas vs plddt,True
chezod,atlas,mmseqs_90,mmseqs,90.0,0.8,2,249,continuous,continuous,spearman,0.623305,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,high,related disorder concept,chezod vs atlas,True
chezod,disprot,mmseqs_90,mmseqs,90.0,0.8,2,563,continuous,binary,auroc,0.687011,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,low,medium,unknown or weakly related,chezod vs disprot,True
chezod,pdbflex,mmseqs_90,mmseqs,90.0,0.8,7,845,continuous,continuous,spearman,0.155468,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,low,low,different concept: flexibility vs disorder/proxy,chezod vs pdbflex,True
chezod,plddt,mmseqs_90,mmseqs,90.0,0.8,34,3972,continuous,continuous,spearman,0.5557,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,chezod vs plddt,True
chezod,softdis,mmseqs_90,mmseqs,90.0,0.8,9,881,continuous,continuous,spearman,0.300704,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,low,medium,related disorder concept,chezod vs softdis,True
pdbflex,atlas,mmseqs_90,mmseqs,90.0,0.8,46,6835,continuous,continuous,spearman,0.29088,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,derived soft disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs atlas,True
